GAME,DATE,NUMBERS,PB,PP,JACKPOT
"POWERBALL","05/15/2013","02-11-26-34-41","32","0","ROLLOVER",
"POWERBALL","05/11/2013","06-13-19-23-43","16","0","ROLLOVER",
"POWERBALL","05/08/2013","21-22-26-30-57","27","0","ROLLOVER",
"POWERBALL","05/04/2013","07-12-26-36-40","17","0","ROLLOVER",
"POWERBALL","05/01/2013","22-26-31-54-55","18","0","ROLLOVER",
"POWERBALL","04/27/2013","03-23-48-54-55","5","0","ROLLOVER",
"POWERBALL","04/24/2013","09-19-31-56-59","2","0","ROLLOVER",
"POWERBALL","04/20/2013","06-08-30-39-48","20","0","ROLLOVER",
"POWERBALL","04/17/2013","13-18-36-48-58","28","0","ROLLOVER",
"POWERBALL","04/13/2013","10-12-31-56-57","33","0","ROLLOVER",
"POWERBALL","04/10/2013","01-36-40-52-53","20","0","ROLLOVER",
"POWERBALL","04/06/2013","04-07-08-29-39","24","0","ROLLOVER",
"POWERBALL","04/03/2013","01-06-08-12-35","3","0","ROLLOVER",
"POWERBALL","03/30/2013","11-23-26-46-55","27","0","$50,000,000 - IL",
"POWERBALL","03/27/2013","07-37-43-48-52","16","0","ROLLOVER",
"POWERBALL","03/23/2013","17-29-31-52-53","31","0","$338,300,000 - NJ",
"POWERBALL","03/20/2013","13-14-17-43-54","15","0","ROLLOVER",
"POWERBALL","03/16/2013","03-07-21-44-53","16","0","ROLLOVER",
"POWERBALL","03/13/2013","05-09-28-32-38","29","0","ROLLOVER",
"POWERBALL","03/09/2013","10-37-40-46-52","12","0","ROLLOVER",
"POWERBALL","03/06/2013","06-10-23-41-45","1","0","ROLLOVER",
"POWERBALL","03/02/2013","03-08-13-41-56","16","0","ROLLOVER",
"POWERBALL","02/27/2013","03-14-20-34-48","21","0","ROLLOVER",
"POWERBALL","02/23/2013","02-05-31-39-41","29","0","ROLLOVER",
"POWERBALL","02/20/2013","03-17-19-25-32","17","0","ROLLOVER",
"POWERBALL","02/16/2013","15-16-46-50-58","29","0","ROLLOVER",
"POWERBALL","02/13/2013","12-23-25-27-43","29","0","ROLLOVER",
"POWERBALL","02/09/2013","05-06-16-36-58","3","0","ROLLOVER",
"POWERBALL","02/06/2013","05-27-36-38-41","12","0","$217,200,000 - VA",
"POWERBALL","02/02/2013","11-16-33-40-41","34","0","ROLLOVER",
"POWERBALL","01/30/2013","14-16-32-47-52","16","0","ROLLOVER",
"POWERBALL","01/26/2013","03-22-26-41-49","18","0","ROLLOVER",
"POWERBALL","01/23/2013","11-12-24-43-45","9","0","ROLLOVER",
"POWERBALL","01/19/2013","08-28-29-34-38","35","0","ROLLOVER",
"POWERBALL","01/16/2013","09-21-28-32-51","35","0","ROLLOVER",
"POWERBALL","01/12/2013","10-14-21-23-47","7","0","ROLLOVER",
"POWERBALL","01/09/2013","11-13-20-27-59","26","0","ROLLOVER",
"POWERBALL","01/05/2013","26-30-49-51-54","25","0","ROLLOVER",
"POWERBALL","01/02/2013","18-20-28-35-53","20","0","ROLLOVER",
"POWERBALL","12/29/2012","36-46-50-52-55","14","0","ROLLOVER",
"POWERBALL","12/26/2012","11-13-23-43-54","4","0","$50,000,000 - FL",
"POWERBALL","12/22/2012","01-18-35-39-44","11","0","ROLLOVER",
"POWERBALL","12/19/2012","05-08-20-23-30","3","0","$50,000,000 - KS",
"POWERBALL","12/15/2012","15-23-40-44-55","14","0","ROLLOVER",
"POWERBALL","12/12/2012","08-10-25-36-44","28","0","$50,000,000 - MA",
"POWERBALL","12/08/2012","07-23-26-40-53","21","0","ROLLOVER",
"POWERBALL","12/05/2012","13-17-19-27-38","12","0","$50,000,000 - PA",
"POWERBALL","12/01/2012","03-10-19-36-46","3","0","ROLLOVER",
"POWERBALL","11/28/2012","05-16-22-23-29","6","0","$587,500,000 - AZ, MO",
"POWERBALL","11/24/2012","22-32-37-44-50","34","0","ROLLOVER",
"POWERBALL","11/21/2012","08-18-24-30-39","26","0","ROLLOVER",
"POWERBALL","11/17/2012","03-15-27-58-59","20","0","ROLLOVER",
"POWERBALL","11/14/2012","08-10-30-44-58","13","0","ROLLOVER",
"POWERBALL","11/10/2012","32-42-50-54-55","32","0","ROLLOVER",
"POWERBALL","11/07/2012","32-34-45-52-58","20","0","ROLLOVER",
"POWERBALL","11/03/2012","04-07-09-30-54","25","0","ROLLOVER",
"POWERBALL","10/31/2012","01-27-31-45-48","5","0","ROLLOVER",
"POWERBALL","10/27/2012","22-32-34-36-56","33","0","ROLLOVER",
"POWERBALL","10/24/2012","03-18-21-23-50","4","0","ROLLOVER",
"POWERBALL","10/20/2012","04-21-28-31-44","10","0","ROLLOVER",
"POWERBALL","10/17/2012","01-07-10-23-42","35","0","ROLLOVER",
"POWERBALL","10/13/2012","02-05-25-26-49","18","0","ROLLOVER",
"POWERBALL","10/10/2012","18-26-29-35-43","28","0","ROLLOVER",
"POWERBALL","10/06/2012","15-26-34-36-59","35","0","ROLLOVER",
"POWERBALL","10/03/2012","17-23-36-55-59","10","0","$50,000,000 - DE",
"POWERBALL","09/29/2012","14-18-28-29-57","8","0","ROLLOVER",
"POWERBALL","09/26/2012","13-26-39-41-42","10","0","$202,100,000 - IA",
"POWERBALL","09/22/2012","02-16-18-40-42","33","0","ROLLOVER",
"POWERBALL","09/19/2012","01-05-08-39-50","23","0","ROLLOVER",
"POWERBALL","09/15/2012","03-20-26-43-48","1","0","ROLLOVER",
